ID,Sale Date,Product,Type,Category,Cost Price,Sales Price
114,2023-05-22,Shortbread Cookies,Sweet,Cookies,0.7,1.28
115,2022-12-07,Red Velvet Cake,Sweet,Cakes,30.92,45.57
116,2023-11-11,Cheese Puffs,Savory,Cookies,2.49,4.71
117,2022-03-24,Cheese Bread,Savory,Breads,2.15,3.95
118,2023-07-17,Cheese Puffs,Savory,Cookies,2.49,4.71
119,2023-11-19,Pretzels,Savory,Cookies,0.72,1.11
120,2023-02-01,Cheese Puffs,Savory,Cookies,2.49,4.71
121,2023-04-16,Cheese Crackers,Savory,Cookies,1.29,2.8
122,2022-03-23,Carrot Cake,Sweet,Cakes,7.37,14.03
123,2023-12-21,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
124,2022-04-10,Baguette,Savory,Breads,3.91,8.02
125,2022-02-28,Cheese Puffs,Savory,Cookies,2.49,4.71
126,2023-08-01,Red Velvet Cake,Sweet,Cakes,30.92,45.57
127,2023-09-14,Red Velvet Cake,Sweet,Cakes,30.92,45.57
128,2023-09-03,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
129,2023-02-19,Cheese Puffs,Savory,Cookies,2.49,4.71
130,2022-05-28,Cheese Crackers,Savory,Cookies,1.29,2.8
131,2023-10-18,Carrot Cake,Sweet,Cakes,7.37,14.03
132,2023-06-21,Red Velvet Cake,Sweet,Cakes,30.92,45.57
133,2022-08-22,Red Velvet Cake,Sweet,Cakes,30.92,45.57
134,2022-08-10,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
135,2023-02-10,Whole Wheat Bread,Savory,Breads,3.82,5.49
136,2022-05-14,Carrot Cake,Sweet,Cakes,7.37,14.03
137,2023-08-09,Red Velvet Cake,Sweet,Cakes,30.92,45.57
138,2022-12-18,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
139,2023-04-04,Cheese Puffs,Savory,Cookies,2.49,4.71
140,2022-06-24,Strawberry Pie,Sweet,Pies,25.94,38.43
141,2022-08-03,Chocolate Cake,Sweet,Cakes,11.02,21.75
142,2022-06-05,Red Velvet Cake,Sweet,Cakes,30.92,45.57
143,2023-12-24,Potato Bread,Savory,Breads,4.71,8.73
144,2022-11-04,Baguette,Savory,Breads,3.91,8.02
145,2022-06-05,Rye Bread,Savory,Breads,2.46,5.29
146,2022-10-23,Cornbread,Savory,Breads,1.41,2.94
147,2023-05-31,Vanilla Ice Cream,Sweet,Ice Creams,8.35,14.46
148,2023-09-18,Baguette,Savory,Breads,3.91,8.02
149,2022-06-13,Passion Fruit Pie,Sweet,Pies,11.19,19.42
150,2023-12-14,Cheese Bread,Savory,Breads,2.15,3.95
151,2022-06-13,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
152,2023-02-24,Lemon Pie,Sweet,Pies,17.37,33.56
153,2023-08-15,Rye Bread,Savory,Breads,2.46,5.29
154,2022-10-18,Baguette,Savory,Breads,3.91,8.02
155,2022-05-30,Potato Bread,Savory,Breads,4.71,8.73
156,2023-02-01,Carrot Cake,Sweet,Cakes,7.37,14.03
157,2023-10-05,Passion Fruit Pie,Sweet,Pies,11.19,19.42
158,2023-07-19,Carrot Cake,Sweet,Cakes,7.37,14.03
159,2022-10-26,Banana Bread,Sweet,Breads,6.14,9.48
160,2023-08-28,Apple Pie,Sweet,Pies,9.73,20.38
161,2023-04-22,Vanilla Ice Cream,Sweet,Ice Creams,8.35,14.46
162,2023-04-02,Apple Pie,Sweet,Pies,9.73,20.38
163,2022-09-14,Cheese Puffs,Savory,Cookies,2.49,4.71
164,2022-07-16,Cookies,Sweet,Cookies,1.34,2.5
165,2023-10-11,Cheese Bread,Savory,Breads,2.15,3.95
166,2023-11-28,Cheese Puffs,Savory,Cookies,2.49,4.71
167,2022-05-03,Passion Fruit Pie,Sweet,Pies,11.19,19.42
168,2022-03-22,Lemon Pie,Sweet,Pies,17.37,33.56
169,2023-07-20,Garlic Bread,Savory,Breads,5.31,9.22
170,2023-04-07,Cornbread,Savory,Breads,1.41,2.94
171,2022-10-01,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
172,2023-03-12,Chocolate Pie,Sweet,Pies,8.55,17.24
173,2023-10-25,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
174,2023-01-24,Cookies,Sweet,Cookies,1.34,2.5
175,2022-09-21,Rye Bread,Savory,Breads,2.46,5.29
176,2022-09-05,Shortbread Cookies,Sweet,Cookies,0.7,1.28
177,2023-01-27,Shortbread Cookies,Sweet,Cookies,0.7,1.28
178,2022-12-14,Strawberry Pie,Sweet,Pies,25.94,38.43
179,2022-01-08,Cornbread,Savory,Breads,1.41,2.94
180,2023-10-25,Cookies,Sweet,Cookies,1.34,2.5
181,2022-09-13,Cornbread,Savory,Breads,1.41,2.94
182,2023-08-01,Strawberry Pie,Sweet,Pies,25.94,38.43
183,2022-11-01,Carrot Cake,Sweet,Cakes,7.37,14.03
184,2022-12-09,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
185,2023-10-19,Rye Bread,Savory,Breads,2.46,5.29
186,2022-03-24,Banana Bread,Sweet,Breads,6.14,9.48
187,2023-05-07,Apple Pie,Sweet,Pies,9.73,20.38
188,2023-12-25,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
189,2022-11-21,Strawberry Pie,Sweet,Pies,25.94,38.43
190,2023-10-17,Pretzels,Savory,Cookies,0.72,1.11
191,2022-07-19,Lemon Pie,Sweet,Pies,17.37,33.56
192,2022-07-02,Carrot Cake,Sweet,Cakes,7.37,14.03
193,2022-08-29,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
194,2023-08-04,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
195,2022-02-15,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
196,2022-07-19,Cookies,Sweet,Cookies,1.34,2.5
197,2022-06-17,Strawberry Ice Cream,Sweet,Ice Creams,10.96,15.86
198,2023-03-06,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
199,2022-10-27,Pecan Pie,Sweet,Pies,18.56,34.86
200,2023-11-17,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
201,2023-12-24,Potato Bread,Savory,Breads,4.71,8.73
202,2022-07-20,Potato Bread,Savory,Breads,4.71,8.73
203,2023-06-19,Carrot Cake,Sweet,Cakes,7.37,14.03
204,2022-08-27,Cornbread,Savory,Breads,1.41,2.94
205,2022-06-01,Cheese Crackers,Savory,Cookies,1.29,2.8
206,2023-03-01,Chocolate Pie,Sweet,Pies,8.55,17.24
207,2023-08-19,Cornbread,Savory,Breads,1.41,2.94
208,2023-09-30,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
209,2023-06-11,Rye Bread,Savory,Breads,2.46,5.29
210,2022-01-09,Strawberry Pie,Sweet,Pies,25.94,38.43
211,2022-02-08,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
212,2023-07-19,Passion Fruit Pie,Sweet,Pies,11.19,19.42
213,2023-10-31,Cookies,Sweet,Cookies,1.34,2.5
214,2022-06-07,Vanilla Ice Cream,Sweet,Ice Creams,8.35,14.46
215,2023-04-12,Passion Fruit Pie,Sweet,Pies,11.19,19.42
216,2022-10-23,Chocolate Cake,Sweet,Cakes,11.02,21.75
217,2023-07-25,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
218,2022-09-16,Banana Bread,Sweet,Breads,6.14,9.48
219,2022-10-09,Passion Fruit Pie,Sweet,Pies,11.19,19.42
220,2022-05-17,Banana Bread,Sweet,Breads,6.14,9.48
221,2023-01-17,Cheese Bread,Savory,Breads,2.15,3.95
222,2023-09-20,Cookies,Sweet,Cookies,1.34,2.5
223,2022-07-23,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
224,2022-03-29,Shortbread Cookies,Sweet,Cookies,0.7,1.28
225,2023-07-31,Red Velvet Cake,Sweet,Cakes,30.92,45.57
226,2022-09-25,Banana Bread,Sweet,Breads,6.14,9.48
227,2023-01-14,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
228,2023-08-04,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
229,2022-02-27,Chocolate Pie,Sweet,Pies,8.55,17.24
230,2022-10-10,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
231,2023-08-31,Cheese Bread,Savory,Breads,2.15,3.95
232,2022-11-28,Chocolate Cake,Sweet,Cakes,11.02,21.75
233,2022-04-04,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
234,2022-08-17,Strawberry Ice Cream,Sweet,Ice Creams,10.96,15.86
235,2022-03-01,Cookies,Sweet,Cookies,1.34,2.5
236,2022-04-08,Whole Wheat Bread,Savory,Breads,3.82,5.49
237,2022-06-08,Chocolate Pie,Sweet,Pies,8.55,17.24
238,2023-10-21,Banana Bread,Sweet,Breads,6.14,9.48
239,2022-10-29,Passion Fruit Pie,Sweet,Pies,11.19,19.42
240,2022-09-07,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
241,2022-03-09,Carrot Cake,Sweet,Cakes,7.37,14.03
242,2022-11-27,Garlic Bread,Savory,Breads,5.31,9.22
243,2022-01-21,Cornbread,Savory,Breads,1.41,2.94
244,2023-12-18,Cookies,Sweet,Cookies,1.34,2.5
245,2023-12-17,Garlic Bread,Savory,Breads,5.31,9.22
246,2022-08-02,Cornbread,Savory,Breads,1.41,2.94
247,2022-08-05,Strawberry Pie,Sweet,Pies,25.94,38.43
248,2022-07-22,Banana Bread,Sweet,Breads,6.14,9.48
249,2023-02-23,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
250,2023-12-06,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
251,2022-01-29,Pretzels,Savory,Cookies,0.72,1.11
252,2023-05-03,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
253,2022-03-30,Strawberry Pie,Sweet,Pies,25.94,38.43
254,2023-09-02,Chocolate Pie,Sweet,Pies,8.55,17.24
255,2023-06-04,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
256,2022-10-31,Strawberry Pie,Sweet,Pies,25.94,38.43
257,2022-10-27,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
258,2022-02-10,Rye Bread,Savory,Breads,2.46,5.29
259,2022-12-31,Chocolate Cake,Sweet,Cakes,11.02,21.75
260,2023-01-11,Strawberry Pie,Sweet,Pies,25.94,38.43
261,2023-12-12,Chocolate Cake,Sweet,Cakes,11.02,21.75
262,2022-02-02,Cookies,Sweet,Cookies,1.34,2.5
263,2022-08-24,Cornbread,Savory,Breads,1.41,2.94
264,2023-09-14,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
265,2023-01-15,Whole Wheat Bread,Savory,Breads,3.82,5.49
266,2023-08-11,Red Velvet Cake,Sweet,Cakes,30.92,45.57
267,2022-12-24,Potato Bread,Savory,Breads,4.71,8.73
268,2023-06-06,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
269,2022-10-03,Cookies,Sweet,Cookies,1.34,2.5
270,2022-09-05,Banana Bread,Sweet,Breads,6.14,9.48
271,2022-03-15,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
272,2022-04-27,Garlic Bread,Savory,Breads,5.31,9.22
273,2023-05-14,Cookies,Sweet,Cookies,1.34,2.5
274,2022-01-04,Chocolate Cake,Sweet,Cakes,11.02,21.75
275,2022-10-29,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
276,2022-03-21,Cornbread,Savory,Breads,1.41,2.94
277,2023-04-25,Cheese Bread,Savory,Breads,2.15,3.95
278,2023-12-01,Banana Bread,Sweet,Breads,6.14,9.48
279,2022-11-25,Pretzels,Savory,Cookies,0.72,1.11
280,2022-07-26,Cheese Puffs,Savory,Cookies,2.49,4.71
281,2023-05-16,Cheese Bread,Savory,Breads,2.15,3.95
282,2022-05-29,Potato Bread,Savory,Breads,4.71,8.73
283,2022-09-30,Baguette,Savory,Breads,3.91,8.02
284,2022-06-18,Banana Bread,Sweet,Breads,6.14,9.48
285,2023-03-29,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
286,2022-11-17,Carrot Cake,Sweet,Cakes,7.37,14.03
287,2022-02-14,Chocolate Cake,Sweet,Cakes,11.02,21.75
288,2023-01-09,Passion Fruit Pie,Sweet,Pies,11.19,19.42
289,2022-04-17,Cookies,Sweet,Cookies,1.34,2.5
290,2023-08-30,Pecan Pie,Sweet,Pies,18.56,34.86
291,2022-03-02,Chocolate Cake,Sweet,Cakes,11.02,21.75
292,2022-02-07,Carrot Cake,Sweet,Cakes,7.37,14.03
293,2023-10-06,Rye Bread,Savory,Breads,2.46,5.29
294,2022-11-06,Cookies,Sweet,Cookies,1.34,2.5
295,2023-08-24,Chocolate Pie,Sweet,Pies,8.55,17.24
296,2023-05-29,Mint Chocolate Chip Ice Cream,Sweet,Ice Creams,7.53,13.37
297,2022-01-20,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
298,2022-10-04,Strawberry Ice Cream,Sweet,Ice Creams,10.96,15.86
299,2023-04-07,Cornbread,Savory,Breads,1.41,2.94
300,2022-06-17,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
301,2023-06-02,Chocolate Pie,Sweet,Pies,8.55,17.24
302,2023-05-03,Cheese Crackers,Savory,Cookies,1.29,2.8
303,2023-10-14,Strawberry Pie,Sweet,Pies,25.94,38.43
304,2022-11-22,Cookies,Sweet,Cookies,1.34,2.5
305,2022-08-17,Lemon Pie,Sweet,Pies,17.37,33.56
306,2022-02-12,Chocolate Cake,Sweet,Cakes,11.02,21.75
307,2022-04-21,Carrot Cake,Sweet,Cakes,7.37,14.03
308,2022-12-21,Pecan Pie,Sweet,Pies,18.56,34.86
309,2023-05-08,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
310,2023-01-21,Apple Pie,Sweet,Pies,9.73,20.38
311,2022-03-29,Cheese Crackers,Savory,Cookies,1.29,2.8
312,2023-05-29,Apple Pie,Sweet,Pies,9.73,20.38
313,2022-04-30,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
314,2023-03-18,Cookies,Sweet,Cookies,1.34,2.5
315,2023-03-17,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
316,2022-06-11,Cornbread,Savory,Breads,1.41,2.94
317,2022-03-08,Rye Bread,Savory,Breads,2.46,5.29
318,2023-11-04,Strawberry Pie,Sweet,Pies,25.94,38.43
319,2023-02-24,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
320,2022-01-29,Banana Bread,Sweet,Breads,6.14,9.48
321,2023-09-24,Chocolate Cake,Sweet,Cakes,11.02,21.75
322,2023-04-01,Cheese Puffs,Savory,Cookies,2.49,4.71
323,2022-06-11,Cheese Bread,Savory,Breads,2.15,3.95
324,2022-05-08,Cookies,Sweet,Cookies,1.34,2.5
325,2023-04-17,Apple Pie,Sweet,Pies,9.73,20.38
326,2022-05-13,Cookies,Sweet,Cookies,1.34,2.5
327,2022-02-10,Rye Bread,Savory,Breads,2.46,5.29
328,2022-09-08,Carrot Cake,Sweet,Cakes,7.37,14.03
329,2023-07-17,Carrot Cake,Sweet,Cakes,7.37,14.03
330,2022-01-18,Cookies,Sweet,Cookies,1.34,2.5
331,2023-09-09,Apple Pie,Sweet,Pies,9.73,20.38
332,2022-01-10,Chocolate Cake,Sweet,Cakes,11.02,21.75
333,2022-02-26,Apple Pie,Sweet,Pies,9.73,20.38
334,2023-07-12,Carrot Cake,Sweet,Cakes,7.37,14.03
335,2023-05-26,Cookies,Sweet,Cookies,1.34,2.5
336,2022-06-07,Pretzels,Savory,Cookies,0.72,1.11
337,2022-10-12,Carrot Cake,Sweet,Cakes,7.37,14.03
338,2023-08-11,Cheese Bread,Savory,Breads,2.15,3.95
339,2023-02-17,Cheese Bread,Savory,Breads,2.15,3.95
340,2022-04-30,Red Velvet Cake,Sweet,Cakes,30.92,45.57
341,2023-04-05,Pretzels,Savory,Cookies,0.72,1.11
342,2023-06-07,Whole Wheat Bread,Savory,Breads,3.82,5.49
343,2022-08-19,Chocolate Cake,Sweet,Cakes,11.02,21.75
344,2023-07-14,Potato Bread,Savory,Breads,4.71,8.73
345,2022-03-26,Vanilla Ice Cream,Sweet,Ice Creams,8.35,14.46
346,2022-05-01,Banana Bread,Sweet,Breads,6.14,9.48
347,2022-10-03,Carrot Cake,Sweet,Cakes,7.37,14.03
348,2022-05-08,Whole Wheat Bread,Savory,Breads,3.82,5.49
349,2022-04-02,Chocolate Cake,Sweet,Cakes,11.02,21.75
350,2023-12-27,Baguette,Savory,Breads,3.91,8.02
351,2022-08-27,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
352,2022-10-04,Cookies,Sweet,Cookies,1.34,2.5
353,2022-07-13,Baguette,Savory,Breads,3.91,8.02
354,2023-08-06,Cookies,Sweet,Cookies,1.34,2.5
355,2022-08-16,Apple Pie,Sweet,Pies,9.73,20.38
356,2023-04-18,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
357,2023-01-22,Cookies,Sweet,Cookies,1.34,2.5
358,2023-09-25,Red Velvet Cake,Sweet,Cakes,30.92,45.57
359,2023-11-26,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
360,2023-10-11,Rye Bread,Savory,Breads,2.46,5.29
361,2022-04-13,Cookies,Sweet,Cookies,1.34,2.5
362,2023-11-25,Cheese Crackers,Savory,Cookies,1.29,2.8
363,2023-06-04,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
364,2022-11-02,Cheese Bread,Savory,Breads,2.15,3.95
365,2022-08-05,Red Velvet Cake,Sweet,Cakes,30.92,45.57
366,2023-07-11,Pretzels,Savory,Cookies,0.72,1.11
367,2022-04-03,Baguette,Savory,Breads,3.91,8.02
368,2022-04-07,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
369,2022-10-21,Red Velvet Cake,Sweet,Cakes,30.92,45.57
370,2023-09-18,Baguette,Savory,Breads,3.91,8.02
371,2023-05-01,Apple Pie,Sweet,Pies,9.73,20.38
372,2023-08-26,Cornbread,Savory,Breads,1.41,2.94
373,2022-09-28,Banana Bread,Sweet,Breads,6.14,9.48
374,2023-09-08,Lemon Pie,Sweet,Pies,17.37,33.56
375,2023-10-25,Shortbread Cookies,Sweet,Cookies,0.7,1.28
376,2022-12-08,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
377,2022-06-26,Cheese Bread,Savory,Breads,2.15,3.95
378,2022-03-15,Cheese Bread,Savory,Breads,2.15,3.95
379,2023-03-18,Apple Pie,Sweet,Pies,9.73,20.38
380,2023-02-23,Cheese Puffs,Savory,Cookies,2.49,4.71
381,2023-01-06,Baguette,Savory,Breads,3.91,8.02
382,2022-09-09,Strawberry Ice Cream,Sweet,Ice Creams,10.96,15.86
383,2023-05-17,Chocolate Cake,Sweet,Cakes,11.02,21.75
384,2022-10-01,Carrot Cake,Sweet,Cakes,7.37,14.03
385,2023-11-07,Cookies,Sweet,Cookies,1.34,2.5
386,2022-08-24,Apple Pie,Sweet,Pies,9.73,20.38
387,2022-10-21,Chocolate Cake,Sweet,Cakes,11.02,21.75
388,2023-10-30,Passion Fruit Pie,Sweet,Pies,11.19,19.42
389,2023-03-10,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
390,2023-02-09,Cheese Puffs,Savory,Cookies,2.49,4.71
391,2023-07-17,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
392,2022-05-08,Carrot Cake,Sweet,Cakes,7.37,14.03
393,2023-11-18,Pretzels,Savory,Cookies,0.72,1.11
394,2023-11-01,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
395,2022-09-28,Cheese Crackers,Savory,Cookies,1.29,2.8
